ID, DateOfData, Variable01, Variable02, Variable03, Variable04, Variable05, Variable06, Variable07, Variable08, Variable09, Variable10, Variable11, Result01, Result02, Result03
280722,6/18/2018 19:36,2,,102,2,590,NJ,49,70,-0.0241,60.46,,1,0,0
280724,6/18/2018 19:31,2,,23,3,646,MD,49,,,,,1,0,0
280725,6/18/2018 19:33,2,,1,4,576,WV,62,0,-0.0315,11.41,19517,1,0,0
280726,6/18/2018 19:38,1,3,102,2,753,PA,,0,,,,1,0,0
280727,6/18/2018 19:34,2,,23,3,641,NY,,,,,,1,0,0
280728,6/18/2018 19:35,2,,23,3,667,MI,,,,,,1,0,0
280729,6/18/2018 19:41,2,,23,3,724,CA,66,0,0.0431,97.74,19872,1,0,0
280730,6/18/2018 19:37,1,1,1,4,811,FL,,1260,,,,1,0,0
280731,6/18/2018 19:38,1,2,105,1,578,TX,,,,,,1,0,0
280732,6/18/2018 19:44,2,,1,4,757,MS,,0,,,14449,1,0,0
280733,6/18/2018 19:40,2,,23,3,734,IN,,,,,,1,0,0
280734,6/18/2018 19:40,2,,1,4,607,FL,63,,,,,1,0,0
280736,6/18/2018 19:45,2,,1,4,692,PA,79,0,0.019,50.8,33299,1,1,0
280737,6/18/2018 19:41,1,1,1,4,756,CT,,,,,,1,0,0
280738,6/18/2018 19:48,2,,23,3,716,OR,52,0,-0.0415,125.68,24151,1,0,0
280739,6/18/2018 19:49,2,,23,3,693,OH,47,0,-0.0179,73.86,12681,1,0,0
280740,6/18/2018 19:50,1,3,23,3,686,CO,,0,,,24667.5,1,1,0
280741,6/18/2018 19:51,2,,23,3,670,NV,25,260,0.1965,294.19,,1,0,0
280742,6/18/2018 19:51,2,,1,4,770,PA,54,0,0.0403,104.99,17606,1,1,0
280744,6/18/2018 19:46,1,3,102,2,534,MN,,,,,,2,0,0
280745,6/18/2018 19:52,2,,23,3,670,FL,70,0,0.0494,102.34,,1,0,0
280746,6/18/2018 19:47,1,2,105,1,9003,NY,,,,,,1,0,0
280748,6/18/2018 19:50,1,,1,4,813,NM,,,,,,1,0,0
280749,6/18/2018 19:50,1,2,105,1,606,MA,,,,,,1,0,0
280750,6/18/2018 20:05,2,,23,3,622,CA,56,,,,,1,0,0
280751,6/18/2018 20:09,2,,23,3,628,MA,51,,,,,1,0,0
280752,6/18/2018 20:09,2,,23,3,688,CA,61,10700,-0.0062,281.81,,1,0,0
280753,6/18/2018 20:10,2,,23,3,,PA,,,,,,1,0,0
280754,6/18/2018 20:16,2,,23,3,714,AL,69,0,0.0345,150.86,,1,0,0
280755,6/18/2018 20:16,2,,23,3,,CA,,6540,,,,1,0,0
280756,6/18/2018 20:17,2,,23,3,735,WA,22,0,0.0328,223.19,9284.31,2.5,1,1
280757,6/18/2018 20:24,2,,23,3,678,FL,,0,,,24469.56,5,1,1
280758,6/18/2018 20:30,2,,23,3,657,AZ,38,0,-0.0153,112.83,10944,1,0,0
280759,6/18/2018 20:32,2,,23,3,676,CA,60,,,,,1,0,0
280760,6/18/2018 20:33,2,,23,3,629,ME,63,,,,,1,0,0
280761,6/18/2018 20:34,2,,23,3,,NV,,,,,18649,1,0,0
280762,6/18/2018 20:34,2,,23,3,616,CO,67,0,-0.0552,-38.6,17197,1,0,0
280763,6/18/2018 20:37,2,,23,3,704,CA,25,0,0.0094,237.04,,1,0,0
280764,6/18/2018 20:37,2,,23,3,580,MI,61,,,,,1,0,0
280765,6/18/2018 20:42,2,,23,3,720,UT,55,,,,,1,0,0
280766,6/18/2018 20:42,2,,23,3,,CA,,,,,,1,0,0
280767,6/18/2018 20:50,2,,23,3,681,AZ,61,2890,0.0371,293.29,,1,0,0
280768,6/18/2018 20:51,2,,23,3,735,WI,62,2780,0.0054,40.8,,1,0,0
280769,6/18/2018 20:53,2,,23,3,641,TX,,3460,,,,1,0,0
280770,6/18/2018 20:53,2,,23,3,675,CA,68,,,,,1,0,0
280771,6/18/2018 20:55,2,,23,3,667,IL,53,1780,0.1678,126.03,,1,0,0
280772,6/18/2018 20:57,2,,23,3,583,CO,12,0,-0.0306,261.48,4718,1,1,0
280773,6/18/2018 21:00,2,,23,3,646,IN,44,0,0.0585,95.62,9643,1,0,0
280774,6/18/2018 21:05,2,,23,3,767,NV,48,0,0.0125,96.64,15437,1,1,0
280775,6/18/2018 21:07,2,,23,3,787,NH,39,0,0.0017,96.77,7789,1,0,0
280776,6/18/2018 21:10,2,,23,3,681,TX,41,2420,0.05,335.59,,1,0,0
280777,6/18/2018 21:13,2,,23,3,824,IL,27,0,0.0252,75.19,4246,1,0,0
280778,6/18/2018 21:14,2,,23,3,616,MO,59,0,0.0188,25.77,7950,1,0,0
280779,6/18/2018 21:20,2,,23,3,687,CA,57,0,-0.0027,95.02,20090,1,1,0
280780,6/18/2018 21:21,2,,23,3,658,OR,48,,,,,1,0,0
280781,6/18/2018 21:25,2,,23,3,570,CA,68,,,,,1,0,0
280782,6/18/2018 21:32,2,,23,3,638,MA,36,,,,,1,0,0
280783,6/18/2018 21:33,2,,23,3,,MA,,,,,,1,0,0
280784,6/18/2018 21:36,2,,23,3,660,TX,29,0,0.0104,248.28,13736,1,0,1
280785,6/18/2018 21:37,2,,23,3,661,TN,41,0,0.1075,201.59,,1,0,0
280786,6/18/2018 21:39,2,,23,3,,CO,,,,,,1,0,0
280787,6/18/2018 21:50,2,,23,3,637,CA,32,,,,,1,0,0
280788,6/18/2018 22:10,2,,23,3,703,TX,58,1660,-0.0255,134.9,,1,0,0
280789,6/18/2018 22:12,2,,23,3,612,IN,30,560,0.1106,110.21,,1,0,0
280790,6/18/2018 22:14,2,,23,3,772,CA,,858110,,,9461,5,0,0
280791,6/18/2018 22:14,2,,23,3,617,TX,64,6240,0.0247,176.01,17743,2,0,0
280792,6/18/2018 22:17,2,,23,3,671,FL,52,0,0.0007,186.25,26838,1,1,0
280793,6/18/2018 22:21,2,,23,3,726,MN,34,0,0.015,75.23,6390,1,0,0
280794,6/18/2018 22:22,2,,23,3,606,TN,47,0,0.0138,91.82,11912,1,0,0
280795,6/18/2018 22:23,2,,23,3,653,GA,38,,,,5558,2,0,0
280796,6/18/2018 22:29,2,,23,3,767,TX,65,0,-0.0069,178.8,56972,1,1,0
280797,6/18/2018 22:39,2,,23,3,682,VA,73,0,0.002,27.37,,1,0,0
280798,6/18/2018 22:40,2,,23,3,606,HI,46,,,,,1,0,0
280799,6/18/2018 22:41,2,,23,3,792,NV,26,0,0.0117,246.64,10308,1,0,0
280800,6/18/2018 22:45,2,,23,3,650,CA,53,920,0.2126,124.15,10395,5,1,1
280801,6/18/2018 22:53,2,,23,3,732,MD,32,0,0.007,90.79,6169,1,0,0
280802,6/18/2018 23:01,2,,23,3,646,ME,,1449710,,,,1,0,0
280803,6/18/2018 23:05,2,,23,3,624,TX,65,,,,,1,0,0
280804,6/18/2018 23:07,2,,23,3,740,MI,34,0,0.0013,107.55,,1,0,0
280805,6/18/2018 23:20,2,,23,3,715,TX,58,0,0.0842,87.78,14005,2,1,0
280806,6/18/2018 23:27,2,,23,3,,MA,,,,,,1,0,0
280807,6/18/2018 23:30,2,,23,3,681,FL,77,11350,-0.0078,187.65,,1,0,0
280808,6/18/2018 23:33,2,,23,3,652,PA,73,,,,,1,0,0
280809,6/18/2018 23:40,2,,23,3,604,GA,53,,,,,1,0,0
280810,6/18/2018 23:43,2,,23,3,627,OH,44,2630,0.1241,161.76,,1,0,0
280811,6/18/2018 23:46,2,,23,3,,CA,,,,,,1,0,0
280812,6/18/2018 23:47,2,,23,3,596,IN,22,0,0.0341,128.52,5145,1,0,0
280813,6/18/2018 23:48,2,,23,3,681,CA,65,,,,,1,0,0
280814,6/18/2018 23:51,2,,23,3,727,CA,66,0,-0.0044,36.52,14652,1,0,0
280815,6/18/2018 23:58,2,,23,3,678,CA,73,0,0.0135,65.38,30628,1,1,0
280816,6/19/2018 0:11,2,,23,3,625,PA,34,0,-0.0704,65.48,7500,1,0,0
280817,6/19/2018 0:11,2,,23,3,689,OK,37,0,0.135,163.33,9144,1,0,0
280818,6/19/2018 0:18,2,,23,3,699,CA,,0,,,3999,1,1,1
280819,6/19/2018 0:23,2,,23,3,729,CA,52,0,-0.0018,111.78,16424,1,0,0
280820,6/19/2018 0:30,2,,23,3,,MN,,,,,,1,0,0
280821,6/19/2018 0:39,2,,23,3,708,IL,54,0,0.0065,18.49,5844,1,0,0
280822,6/19/2018 0:42,2,,23,3,634,FL,64,940,0.0188,-285.68,27004,2,0,0
280823,6/19/2018 0:45,2,,23,3,671,CA,38,2590,0.0261,280.27,,1,0,0
280824,6/19/2018 0:52,2,,23,3,661,OR,,,,,,1,0,0
280825,6/19/2018 0:57,2,,23,3,695,TX,33,0,0.02,73.44,5104,2,0,0
280826,6/19/2018 1:11,2,,23,3,724,CA,70,0,0.1598,170,22536.82,2.5,1,1
280827,6/19/2018 1:48,2,,23,3,612,MI,35,,,,,1,0,0
280828,6/19/2018 2:04,2,,23,3,682,OH,54,4360,0.177,283.24,,1,0,0
280829,6/19/2018 2:15,1,3,23,3,705,FL,,0,,,,1,0,0
280830,6/19/2018 2:52,2,,23,3,654,MI,49,,,,,1,0,0
280831,6/19/2018 2:58,2,,23,3,634,CA,38,1900,-0.0223,106.77,,1,0,0
280832,6/19/2018 2:59,2,,23,3,504,KS,,,,,,1,0,0
280833,6/19/2018 3:21,2,,23,3,629,PA,44,1810,0.0925,281.53,,1,0,0
280834,6/19/2018 3:28,2,,23,3,691,NJ,17,,,,,1,0,0
280835,6/19/2018 3:29,2,,23,3,666,NJ,26,,,,,1,0,0
280836,6/19/2018 3:32,2,,23,3,703,PA,54,0,0.0617,83.57,12284,1,0,0
280837,6/19/2018 3:53,2,,23,3,,VA,,,,,,1,0,0
280838,6/19/2018 3:54,2,,23,3,665,MD,67,,,,,1,0,0
280839,6/19/2018 4:14,2,,23,3,,NC,,,,,,1,0,0
280840,6/19/2018 4:17,2,,23,3,708,FL,,0,,,5449,1,0,0
280841,6/19/2018 4:32,2,,23,3,803,WI,21,0,0.0384,157.92,5491,2,0,0
280842,6/19/2018 4:39,2,,23,3,668,VA,63,0,0.0173,62.14,15499,2,1,0
280843,6/19/2018 4:57,2,,23,3,641,GA,46,,,,,1,0,0
280844,6/19/2018 5:09,2,,23,3,677,IN,31,0,0.0119,104.24,6547,1,0,0
280845,6/19/2018 5:13,2,,23,3,669,FL,61,0,0.0327,143.02,,1,0,0
280846,6/19/2018 5:18,2,,23,3,,NY,,,,,,1,0,0
280847,6/19/2018 5:20,2,,23,3,635,FL,64,0,0.0415,-96.83,29508,2.5,1,0
280848,6/19/2018 5:34,2,,23,3,605,FL,64,0,0.0884,112.55,19202,2,1,0
280849,6/19/2018 5:41,2,,23,3,648,GA,71,0,0.0392,74.56,20355,2,0,0
280850,6/19/2018 5:52,2,,23,3,692,CA,,0,,,24811.35,4,1,1
280851,6/18/2018 20:13,2,,50,3,637,LA,,,,,,1,0,0
280852,6/18/2018 20:05,2,,1,4,676,WI,83,0,0.0117,16.02,29244,1,1,0
280853,6/18/2018 20:06,2,,1,4,586,FL,59,0,0.027,203.11,34244,1,1,0
280854,6/18/2018 20:07,2,,1,4,784,CT,73,0,0.0059,78.67,39874,1,1,0
280855,6/18/2018 20:08,1,1,1,4,681,NY,,0,,,,1,0,0
280856,6/18/2018 20:11,2,,1,4,781,IN,58,0,0.0165,204.69,34393,1,1,0
280857,6/18/2018 20:13,1,1,1,4,711,NY,,0,,,,1,0,0
280858,6/18/2018 20:17,2,,1,4,719,PA,75,15550,-0.0598,143.27,,1,0,0
280859,6/18/2018 20:29,2,,1,4,638,MA,57,,,,,1,0,0
280860,6/18/2018 20:35,2,,1,4,651,ID,61,,,,,1,0,0
280861,6/18/2018 20:37,2,,1,4,693,OH,55,0,0.0586,58.76,14244,1,1,0
280862,6/18/2018 20:51,2,,1,4,595,TX,53,,,,,1,0,0
280863,6/18/2018 20:53,1,,1,4,703,CO,,,,,,1,0,0
280864,6/18/2018 20:54,2,,1,4,,OR,,,,,,1,0,0
280865,6/18/2018 20:59,2,,1,4,688,UT,71,,,,,1,0,0
280866,6/18/2018 21:03,2,,1,4,623,AR,44,,,,,1,0,0
280867,6/18/2018 21:09,2,,1,4,620,UT,,11050,,,,1,0,0
280868,6/18/2018 21:11,1,1,1,4,791,NY,,0,,,,1,0,0
280869,6/18/2018 21:18,2,,1,4,735,WI,,105060,,,,1,0,0
280870,6/18/2018 21:22,2,,1,4,541,CA,57,,,,,1,0,0
280871,6/18/2018 21:25,2,,1,4,529,IA,56,,,,,1,0,0
280872,6/18/2018 21:29,2,,1,4,610,FL,44,,,,,1,0,0
280873,6/18/2018 21:32,2,,1,4,647,CA,41,0,0.0359,152.11,14664,2,1,0
280874,6/18/2018 21:33,1,,1,4,824,CO,,,,,,1,0,0
280875,6/18/2018 21:34,1,,1,4,770,CO,,,,,,1,0,0
280876,6/18/2018 21:34,2,,1,4,803,TX,,0,,,31525,1,0,0
280877,6/18/2018 21:47,2,,1,4,587,FL,67,7120,-0.0206,140.61,,1,0,0
280878,6/18/2018 21:52,2,,1,4,604,GA,64,0,0.0399,78.53,25332,1,1,0
280879,6/18/2018 21:59,1,,1,4,784,AZ,,0,,,,1,0,0
280880,6/18/2018 22:07,1,1,1,4,771,NY,,0,,,,1,0,0
280881,6/18/2018 22:14,2,,1,4,580,DC,38,0,0.0442,214.66,16244,1,1,0
280882,6/18/2018 22:16,2,,1,4,602,LA,61,0,0.0437,116.33,27244,1,1,0
280883,6/18/2018 22:39,2,,1,4,637,TX,64,,,,24233,1,0,0
280884,6/18/2018 22:55,2,,1,4,678,AL,62,0,0.0041,136.58,31748,1,1,0
280885,6/18/2018 23:03,1,,1,4,799,AZ,,,,,,1,0,0
280886,6/18/2018 23:09,2,,1,4,631,CA,62,,,,,1,0,0
280887,6/18/2018 23:11,2,,1,4,698,KS,,,,,,1,0,0
280888,6/18/2018 23:19,2,,1,4,615,TX,58,0,-0.0115,-7.59,20116,1,0,0
280889,6/18/2018 23:35,2,,1,4,782,AZ,34,0,0.0151,273.96,18504,1,1,0
280890,6/18/2018 23:35,2,,1,4,611,CA,36,,,,,1,0,0
280891,6/18/2018 23:52,2,,1,4,744,AZ,57,0,0.0597,68.48,12396,1,0,0
280892,6/18/2018 23:56,2,,1,4,607,AZ,50,0,0.0864,240.01,,2,0,0
280893,6/19/2018 0:19,2,,1,4,606,VA,59,,,,,1,0,0
280894,6/19/2018 0:27,1,,1,4,681,CO,,,,,,1,0,0
280895,6/19/2018 0:29,1,1,1,4,648,NJ,,,,,,1,0,0
280896,6/19/2018 0:51,2,,1,4,777,NY,,0,,,20449,1,0,0
280897,6/19/2018 1:04,2,,1,4,568,CA,,,,,,1,0,0
280898,6/19/2018 1:14,2,,1,4,672,CA,43,2180,0.1153,298.96,,1,0,0
280899,6/19/2018 1:52,2,,1,4,716,TX,49,0,0.0205,191.51,26791,1,1,0
280900,6/19/2018 2:33,2,,1,4,633,CA,57,0,0.0814,109.65,16521,1,1,0
280901,6/19/2018 4:01,2,,1,4,9002,IL,,,,,,1,0,0
280902,6/19/2018 4:03,1,1,1,4,657,CA,,0,,,42569.8,1,1,0
280903,6/19/2018 4:04,2,,1,4,657,TN,33,0,-0.065,57.25,10736,1,1,0
280904,6/19/2018 4:11,2,,1,4,683,IL,,,,,,1,0,0
280905,6/19/2018 4:16,2,,1,4,736,MA,60,0,0.0279,169.91,30753,1,1,0
